,Features,Coefficients,p_values
0,const,-1.1242030900683841,1.4665306889763544e-12
1,grade_A,0.9004253635459585,1.327967746144193e-19
2,grade_B,0.809151755762886,4.633919286947473e-28
3,grade_C,0.6072853734735584,5.36441922892122e-19
4,grade_D,0.41201091830098524,2.1268244064876002e-10
5,grade_E,0.21485359514963287,0.00038823143571975867
6,grade_F,0.09619975369476032,0.06899617822266634
7,home_ownership_MORTGAGE,0.13352389032890236,4.4864656139178446e-26
8,home_ownership_OWN,0.10336012463861229,3.134514063872955e-07
9,purpose_credit_card,0.43140735030362415,4.147303340145162e-47
10,purpose_debt_consolidation,0.3241189665690317,2.165575659707511e-31
11,purpose_home_improvement,0.3251970243653488,1.170212482876641e-19
12,purpose_other,0.3343824921199347,1.3101661462341735e-22
13,purpose_renewable_energy_medical_wedding_vacation,0.41245017142450374,4.992824393750714e-21
14,purpose_major_purchase_car,0.4835184578991327,3.115648090760725e-31
15,addr_state_CA,0.06346838305616413,0.001791458088966995
16,addr_state_NY,0.05113656014421953,0.029370368133762068
17,addr_state_TX,0.2179508851028427,6.299122847203763e-18
18,addr_state_best,0.5145161826845216,2.2007666713140685e-22
19,addr_state_NM_VA,0.035737569298775085,0.2558283319971747
20,addr_state_OK_TN_MO_LA_MD_NC,0.022275506367321972,0.2840374240387701
21,addr_state_UT_KY_AZ_NJ_MD_NC,0.05816561699231872,0.003572221948208432
22,addr_state_AR_MI_PA_OH_MN,0.12383304339801186,1.1380121288711865e-08
23,addr_state_RI_MA_DE_SD_IN,0.09354690101315076,0.001365331830310426
24,addr_state_GA_WA_OR,0.18069298875078957,3.506408896304346e-12
25,addr_state_WI_MT,0.22638113285464778,1.5823138182276672e-06
26,addr_state_IL_CT,0.2564360786627628,2.8976706549501803e-19
27,addr_state_KS_SC_CO_VT_AK_MS,0.30992942327089523,1.198757453301991e-24
28,initial_list_status_f,-0.07802008090442086,1.2389862408067349e-09
29,"earliest_cr_line_weeks_(255.2, 510.4]",0.1664580134923587,0.12035077783995002
30,"earliest_cr_line_weeks_(510.4, 765.6]",0.21758946940391316,0.03517529785235477
31,"earliest_cr_line_weeks_(765.6, 1020.8]",0.2352797374600914,0.02221672946346155
32,"earliest_cr_line_weeks_(1020.8, 1276.0]",0.29393745751284844,0.004351790762626079
33,"earliest_cr_line_weeks_(1276.0, 1531.2]",0.3272922515826018,0.001615220889236123
34,"earliest_cr_line_weeks_(1531.2, 1786.4]",0.35303962508097636,0.0007702944136876071
35,"earliest_cr_line_weeks_(1786.4, 2041.6]",0.3496335685785355,0.0012543996698473206
36,"earliest_cr_line_weeks_(2041.6, 2296.8]",0.3496384942941097,0.0021483829079358826
37,"earliest_cr_line_weeks_(2296.8, 2552.0]",0.332691396142491,0.009560139683958071
38,inq_last_6mths_<1,0.3530396271470305,8.130866907916784e-79
39,inq_last_6mths_1-2,0.24577445365711031,3.931572190140277e-37
40,inq_last_6mths_2-3,0.14444560290804606,1.8086857204996094e-11
41,emp_length_1,0.1750414774695671,6.255505525554545e-10
42,emp_length_2_3_4,0.2357496465698906,3.126205297169331e-18
43,emp_length_5_6,0.20320466932585907,1.707029701820142e-12
44,emp_length_7_8_9,0.17420103430613224,6.91839144304047e-10
45,emp_length_10,0.24570846451221454,9.602667146404247e-21
46,term_36,0.11498614180406977,2.0455673851941318e-17
47,issue_d_weeks_156-165,1.1198098062650725,1.212980725589986e-171
48,issue_d_weeks_165-173,0.91895039443175,1.0253344490392916e-140
49,issue_d_weeks_173-180.5,0.8228183924018236,5.241371264507001e-118
50,issue_d_weeks_181-211,0.6216185455131048,5.602161549010333e-82
51,issue_d_weeks_211-235,0.4149984872945382,1.586849604519344e-34
52,issue_d_weeks_235-391,0.08020673939583012,0.01039709891353292
53,"int_rate_(5.399, 7.484]",1.5220987830859047,2.1025804270043436e-50
54,"int_rate_(7.484, 9.548]",0.9326783705050471,2.2588370795204085e-25
55,"int_rate_(9.548, 11.612]",0.6534971618832688,8.56688554047337e-23
56,"int_rate_(11.612, 13.676]",0.4537491415320988,4.440182948032071e-13
57,"int_rate_(13.676, 15.74]",0.374396533561667,1.3192399146498428e-10
58,"int_rate_(15.74, 17.804]",0.2585886444035736,3.323971162781527e-06
59,"int_rate_(17.804, 19.868]",0.19756491492848588,0.00020265580664606574
60,"int_rate_(19.868, 21.932]",0.18159340996786336,0.0003937825554300967
61,"int_rate_(21.932, 23.996]",0.1318192750452153,0.0030636318918400938
62,annual_inc_large_income,0.5071723940163698,3.2839645823391806e-57
63,annual_inc_38K-73.2K,0.15544214743975437,6.744792637943057e-25
64,annual_inc_73.2K-109K,0.37149493662238814,1.1154681402113542e-88
65,annual_inc_109K-144K,0.5035618504277123,4.816757250727341e-80
66,"dti_(-0.04, 2.0]",0.3495248972974115,0.0023518051456387153
67,"dti_(2.0, 3.999]",0.4268179885976692,0.00010750789296574114
68,"dti_(3.999, 5.998]",0.4727545334654432,1.1226365291023123e-05
69,"dti_(5.998, 7.998]",0.4387961418620102,3.635980847185873e-05
70,"dti_(7.998, 9.998]",0.3901683286584077,0.00021562537160407718
71,"dti_(9.998, 11.997]",0.33426041757135144,0.0014513871380880691
72,"dti_(11.997, 13.997]",0.29879318382536113,0.004308426053921368
73,"dti_(13.997, 15.996]",0.31526271510012155,0.0025716800404098714
74,"dti_(15.996, 17.996]",0.22795259788418246,0.029067571986146512
75,"dti_(17.996, 19.995]",0.19788005731283184,0.058039939548410836
76,"dti_(19.995, 21.995]",0.1740078156438244,0.09578470645061528
77,"dti_(21.995, 23.994]",0.1452159111981582,0.16500733757891572
78,"dti_(23.994, 25.994]",0.13342895633782598,0.20326895198177874
79,"dti_(25.994, 27.993]",0.07209039818378238,0.493493993311214
80,"dti_(27.993, 29.992]",0.07144405064995656,0.4992183627629678
81,"dti_(29.992, 31.992]",0.13716668947858823,0.20096723846369957
82,"dti_(31.992, 33.992]",0.1254978182807814,0.24730323959322809
83,"dti_(33.992, 35.991]",0.10153092322354586,0.3740236301091394
84,"dti_(35.991, 37.991]",0.016737313083960204,0.9019379317908982
